"ID","post_title","coords"
45385,"Provinciaal Cultuurcentrum Caermersklooster","51.0582481,3.7222992"
43755,"Bakkerijmuseum","51.0591392,2.6665328"
43175,"Toeristisch treintje door Rochefort","50.159997,5.2233399"
43047,"Conquesta","50.8958603,2.8681927"
44512,"Spectrumschool Deurne","51.2173598,4.482011"
43980,"RossCOM.biz","50.9808515,4.1418773"
43922,"BELvue museum","50.8426107,4.3606882"
43733,"Natuureducatief Centrum Bastion VIII","51.027666,4.0955189"
43341,"Le Parc à Gibier de La Roche en Ardenne","50.1819631,5.5753328"
44440,"Cosmodrome","50.9573,5.535234"
44370,"Scheepvaartmuseum Baasrode","51.0363834,4.1665737"
45965,"Bed & breakfast Cortijo La Haza","37.2204098,-4.3518878"
44948,"Restaurant hotelschool Stella Maris","51.2425782,4.4378395"
43849,"vzw Mobiel","50.8235406,3.2629702"
45864,"Alco Lederwaren","51.1341756,4.5663099"
45894,"Triado","51.0553339,3.7291416"
45174,"Nonkel bvba","50.920002,3.2141347"
44849,"Vakantieverblijf Domaine des Campeaux Frankrijk","43.6834668,5.9329246"
44588,"Chabot Museum","51.9146865,4.472381"
